Test_Name,Sensitivity_Day_1,Sensitivity_Day_2,Sensitivity_Day_3,Sensitivity_Day_4,Sensitivity_Day_5,Sensitivity_Day_6,Sensitivity_Day_7,Sensitivity_Day_8,Sensitivity_Day_9,Sensitivity_Day_10,Sensitivity_Day_11,Sensitivity_Day_12,Sensitivity_Day_13,Sensitivity_Day_14,Sensitivity_Day_15,Sensitivity_Day_16,Sensitivity_Day_17,Sensitivity_Day_18,Sensitivity_Day_19,Sensitivity_Day_20,Sensitivity_Day_21,Sensitivity_Day_22,Sensitivity_Day_23,Sensitivity_Day_24,Sensitivity_Day_25,Sensitivity_Day_26,Sensitivity_Day_27,Sensitivity_Day_28,Sensitivity_Day_29,Sensitivity_Day_30,Sensitivity_Day_31,Sensitivity_Day_32,Sensitivity_Day_33,Sensitivity_Day_34,Sensitivity_Day_35,Sensitivity_Day_36,Sensitivity_Day_37,Sensitivity_Day_38,Sensitivity_Day_39,Sensitivity_Day_40,Sensitivity_Day_41,Sensitivity_Day_42,Sensitivity_Day_43,Sensitivity_Day_44,Sensitivity_Day_45,Sensitivity_Day_46,Sensitivity_Day_47,Sensitivity_Day_48,Sensitivity_Day_49,Sensitivity_Day_50,Sensitivity_Day_51,Sensitivity_Day_52,Sensitivity_Day_53,Sensitivity_Day_54,Sensitivity_Day_55,Sensitivity_Day_56,Sensitivity_Day_57,Sensitivity_Day_58,Sensitivity_Day_59,Sensitivity_Day_60
RT-PCR,0.00202671843256427,0.0911235639190162,0.386533662741925,0.708851072350641,0.90375061366253,0.960009487499434,0.921387534854256,0.832590963654749,0.724754375305754,0.616076373213195,0.515775533537238,0.427633749707787,0.352432901522716,0.289451459200713,0.237321931532106,0.194493577563257,0.159464626863604,0.130885553994121,0.10759329999208,0.0886106152656822,0.0731294503737931,0.0604885210890109,0.0501502057442687,0.0416791905903243,0.034723808109404,0.0290002572415675,0.0242795330544902,0.02037674444748,0.017142459760851,0.0144557350999075,0.0122185181680666,0.0103511654160266,0.00878885442765005,0.00747871315631821,0.00637752170021266,0.00544987073028834,0.00466668396313355,0.00400403090155317,0.00344217117289252,0.00296478384810178,0.00255834470605026,0.00221162200747086,0.00191526736376887,0.00166148305380766,0.00144375091804628,0.00125661095211612,0.00109548009594332,0.000956503600069822,0.000836432850559306,0.000732524728647027,0.000642458534757029,0.00056426726878691,0.000496280669137971,0.000437077902985431,0.000385448194322628,0.000340357993807473,0.000300923550773854,0.000266387955144807,0.000236101885088223,0.000209507432800524
BD Veritor,0.00138854797435918,0.0699429111139358,0.31941618589781,0.617977629249627,0.819566802958872,0.89032870774041,0.833906719008281,0.722093502893629,0.592456733466123,0.464641869542499,0.349510474528603,0.252387757120082,0.175033891004674,0.116738829097205,0.0751031526349309,0.046821776415205,0.0284446886080379,0.016936078299855,0.00993524044976131,0.00576817641571257,0.00332610014356055,0.00191002683980701,0.00109448696180403,0.000626706421483991,0.000358948359696245,0.000205784038995768,0.000118142074793943,6.79428543796857e-05,3.91484413165256e-05,2.26031230357391e-05,1.3077788618985e-05,7.58271363690077e-06,4.40596514582452e-06,2.56553297175771e-06,1.49700518204842e-06,8.75313904032727e-07,5.12840907949696e-07,3.01066165854448e-07,1.77085534567375e-07,1.04358323138815e-07,6.1613363281741e-08,3.6442454845866e-08,2.15926791851259e-08,1.28160235647688e-08,7.61956150175628e-09,4.53752548416031e-09,2.70647211412815e-09,1.61683930551974e-09,9.6737064329949e-10,5.79650338805419e-10,3.47833418115184e-10,2.09022903678035e-10,1.25782321813588e-10,7.57939843413324e-11,4.57326051463404e-11,2.76299634893737e-11,1.67141903610275e-11,1.01234590691489e-11,6.1390241539912e-12,3.72722158311652e-12
BinaxNOW,0.00165281154319917,0.0757730109406283,0.326475407242851,0.607188317917971,0.784294118171735,0.840732367431122,0.799017416876371,0.712110064759689,0.610611215283891,0.510607528050232,0.419926785585776,0.341496537649493,0.27560848151081,0.221285316697076,0.177048828905768,0.141323911167343,0.112633391609788,0.089678044739914,0.071356676727837,0.0567571226229892,0.0451349117676047,0.0358883376636333,0.0285342092083699,0.0226861454743402,0.0180360143571659,0.0143384919311908,0.0113984415691224,0.00906071548314731,0.00720197542078116,0.00572416446655554,0.00454931224365314,0.00361540817508476,0.00287312578017221,0.00228322290697708,0.00181447789023021,0.00144205032814424,0.00114617830166175,0.000911142313074988,0.000724440847469133,0.000576134007492713,0.000458320768869999,0.000364722566209233,0.000290351560196329,0.000231246386712815,0.000184261704023432,0.000146900637763465,0.000117181432229171,9.3531372764608e-05,7.47024431003211e-05,5.97042976715763e-05,4.77510204310308e-05,3.82188542264292e-05,3.06126545573175e-05,2.45392770881147e-05,1.96864724619437e-05,1.58061529188064e-05,1.27011275298054e-05,1.02145881875579e-05,8.22177620999092e-06,6.62337704353462e-06
CareStart (AN),0.0016934352979151,0.0777588053704278,0.335335775733022,0.623984199471439,0.80614023696767,0.864121527088251,0.821270602849623,0.731778504464687,0.627106045227094,0.523866057215696,0.430176225082283,0.349099856510278,0.280972231286809,0.224808512169712,0.17909718637711,0.142218981489073,0.112650030476683,0.089046271825081,0.0702656239365542,0.0553597784279603,0.0435529672742242,0.034216786955572,0.0268455511978175,0.0210341388408698,0.0164589891837829,0.0128622444156391,0.0100387455736138,0.0078254848502237,0.00609310852850999,0.00473909979219984,0.00368232174099202,0.0028586542249554,0.00221750710345963,0.00171903473529227,0.00133191148660461,0.00103155635893594,0.000798717441077577,0.000618344803200924,0.00047869462766026,0.000370618613191098,0.000287001646546047,0.000222317913175272,0.000172281401856154,0.000133571438755756,0.000103617685205837,8.04321197802831e-05,6.24780310991296e-05,4.85680781521765e-05,3.77851149426947e-05,2.94207958789383e-05,2.29280356657401e-05,1.78842408629454e-05,1.3962900093587e-05,1.09116495699334e-05,8.53534779622647e-06,6.68302067673236e-06,5.2377942798117e-06,4.1091321290544e-06,3.22684912219669e-06,2.53649460930882e-06
CareStart (NS),0.00180421618018364,0.087449912954977,0.380439495855009,0.704449647249327,0.901559048592423,0.958891161735512,0.919022263223231,0.826842243983012,0.711382435110789,0.586300375694995,0.453704154233941,0.312971656946782,0.178440024750365,0.080504519716301,0.029838508222602,0.00984822226878622,0.00308227361371452,0.000944940608514103,0.00028772766884175,8.74997806477041e-05,2.66337137893078e-05,8.12159734983662e-06,2.48198573516328e-06,7.60286223797826e-07,2.3345675630496e-07,7.18619017044831e-08,2.21745141755822e-08,6.85907991079317e-09,2.12677925464071e-09,6.61011359235557e-10,2.0592458016234e-10,6.42985787028573e-11,2.01218779814026e-11,6.31086542451118e-12,1.98354245797448e-12,6.24748160779403e-13,1.97177844226342e-13,6.23562191076955e-14,1.9758279071819e-14,6.27257155167032e-15,1.99502888458399e-15,6.35682326844529e-16,2.02908050053148e-16,6.48795616646794e-17,2.07801095573199e-17,6.66655357959647e-18,2.14215732158753e-18,6.89415656272582e-19,2.22215607493842e-19,7.17324982111528e-20,2.31894347415594e-20,7.50727768349961e-21,2.43376517603157e-21,7.90068873848802e-22,2.56819482401836e-22,8.35900881208247e-23,2.72416167273755e-23,8.88894301571437e-24,2.90398764447507e-24,9.49850863861477e-25
Celltrion DiaTrust,0.00185555731308149,0.0865884838154483,0.374628452100585,0.695284390721849,0.893072942683457,0.952176495990857,0.910184874138076,0.815777817863888,0.70056192839572,0.582370472733923,0.470167859552544,0.367842641218276,0.277011176239254,0.198819617554279,0.134619322381503,0.0854301550768447,0.0508376749833968,0.0285900297116787,0.0153817284194459,0.00801941033378317,0.0040961204106425,0.00206645750070927,0.00103541948361011,0.000517135440655094,0.000258028084935372,0.000128795366696964,6.43665597468506e-05,3.22222053025113e-05,1.61622805383829e-05,8.12390489182533e-06,4.09233120883068e-06,2.06599453005498e-06,1.04528919245453e-06,5.30007185737232e-07,2.69308337933432e-07,1.37126943818317e-07,6.99651175820283e-08,3.57689547230784e-08,1.83221627022574e-08,9.40314143436263e-09,4.83476214450873e-09,2.49036883523664e-09,1.2850486338729e-09,6.64238678406728e-10,3.43921495979373e-10,1.78364082208944e-10,9.2651247507811e-11,4.82030250359699e-11,2.51165706154625e-11,1.31067126248852e-11,6.84950915209567e-12,3.58461634768573e-12,1.87857808276115e-12,9.85837626384969e-13,5.18033398842718e-13,2.72567109022219e-13,1.43595206548043e-13,7.57434581728326e-14,4.00015917202903e-14,2.11507125733136e-14
Clip COVID,0.00196338347954566,0.0882759524956146,0.374454485709674,0.686699476467049,0.875508407479548,0.930009191803164,0.892594174874098,0.806572496156533,0.702105800898249,0.596823986159585,0.499657547587436,0.414270194427062,0.341419372717178,0.280406100468704,0.229905620561601,0.188415652689014,0.154481356740556,0.126795379943141,0.104231008923925,0.0858415331391131,0.0708441546915509,0.0585982544853665,0.0485830115303355,0.0403767156318402,0.0336386888821328,0.0280939990045734,0.0235207974711941,0.0197399710284404,0.0166067577562353,0.0140039932568292,0.0118366893681308,0.0100276914019609,0.00851420264287507,0.00724500329588215,0.0061782240812484,0.00527956221159769,0.00452085003749582,0.0038789048898919,0.00333460328287094,0.0028721343164988,0.00247839640162799,0.00214250879090741,0.00185541523294197,0.00160956168542971,0.00139863368135838,0.00121734184153359,0.00106124632654186,0.000926612847874676,0.000810294310806609,0.000709633319056603,0.000622381694930002,0.000546633907094778,0.000480771889642275,0.000423419210786751,0.000373402931283426,0.000329721800217423,0.000291519684140003,0.000258063326422091,0.000228723696545878,0.00020296032133287
Ellume,0.00202671753184408,0.0911235639190162,0.386533662741925,0.708851072350641,0.90375061366253,0.960009487499434,0.921387534854256,0.832590963654749,0.724754375305754,0.616076373213195,0.51577553339468,0.42711289772797,0.096101856815347,2.24614724961211e-07,4.12595151665852e-14,7.57207595593468e-21,1.38981230109233e-27,2.55307939341148e-34,4.6964120998599e-41,8.65413456112919e-48,1.59790569045495e-54,2.95684288973073e-61,5.4841401341716e-68,1.01959145478948e-74,1.90020628553192e-81,3.55010190324215e-88,6.64885258787074e-95,1.24828138105971e-101,2.34924123548614e-108,4.43177848749728e-115,8.38006181320018e-122,1.5882423323678e-128,3.01694251797475e-135,5.74351215836682e-142,1.09578993927198e-148,2.09505339429672e-155,4.01383604062912e-162,7.70548068143851e-169,1.48215790472225e-175,2.85642755707946e-182,5.51525639070838e-189,1.06684698255231e-195,2.0673458707419e-202,4.01309892146955e-209,7.80340134377276e-216,1.51987379689285e-222,2.96505858702138e-229,5.7935448450576e-236,1.13376877118878e-242,2.22207038516939e-249,4.36143097832289e-256,8.57281031956058e-263,1.68743112483865e-269,3.32601030692599e-276,6.5645101532022e-283,1.29732619137061e-289,2.5671516064879e-296,5.08624244699307e-303,1.00888000389975e-309,0
Liaison (AN),0.00196530271556265,0.0883622434923483,0.374820520153179,0.687370734475201,0.876364228463486,0.930918287779931,0.893466697438284,0.807360931690335,0.7027921190793,0.597407390120956,0.500145970151317,0.41467514975518,0.341753115399259,0.280680201842305,0.230130357005837,0.188599832090793,0.154632364865976,0.126919324606777,0.104332896565097,0.0859254447762355,0.0709134061483579,0.0586555353721966,0.0486305023481217,0.0404161846540719,0.0336715713649009,0.0281214614537481,0.0235437895324748,0.0197592672616527,0.0166229912142265,0.0140176824624297,0.0118482599917402,0.0100374936940273,0.00852252546902636,0.00725208545354063,0.00618426343990336,0.00528472310917033,0.00452526927753453,0.0038826966144715,0.00333786294051127,0.00287494190027314,0.00248081909756057,0.00214460314888478,0.00185722895018994,0.00161113507494957,0.00140000088363427,0.00121853182657472,0.00106228372432351,0.000927518638027583,0.000811086396610192,0.000710327006128726,0.000622990091246232,0.000547168257932065,0.00048124185858224,0.000423833115918007,0.000373767944119772,0.000330044113526817,0.000291804653799975,0.000258315591534498,0.000228947281320208,0.000203158721653002
Liaison (NS),0.00194723927102703,0.0875500905016423,0.371375478545542,0.681052988661187,0.868309410096078,0.922362053442048,0.885254687257067,0.799940334780037,0.696332632570558,0.591916513251878,0.495549040160419,0.410863797164268,0.338612002103147,0.278100420481513,0.228015188198874,0.186866377676316,0.153211111445544,0.125752786637737,0.103373954449124,0.0851356888043828,0.070261628478364,0.0581164219606471,0.048183530788605,0.04004471234191,0.0333620899870659,0.0278629921184709,0.0233273943902083,0.0195776563336629,0.0164702063547905,0.0138888434571831,0.0117393605327344,0.00994523730889499,0.00844419342531738,0.00718543024918661,0.00612742277696936,0.00523615028090448,0.00448367672410907,0.00384701006035883,0.00330718404934391,0.00284851779851795,0.0024580174484221,0.00212489172020209,0.00184015882877915,0.00159632684603754,0.00138713322656564,0.00120733208383835,0.00105252008564921,0.000918993649203732,0.000803631557205997,0.000703798264189355,0.000617264078415638,0.000542139137051029,0.000476818678959966,0.000419937590259101,0.000370332576359931,0.000327010619272402,0.000289122625223839,0.000255941366889342,0.000226842986041483,0.000201291453617048
