testName,Quarantine_Duration_Exit,Quarantine_Duration_Entry_Exit,Serial_Testing_Freq,False_Positive_Risk
BD Veritor,9 (8–9),9 (8–9),2 (2–2),0.0389 (0.00825–0.155)
BinaxNOW (FDA),9 (8–9),9 (8–9),2 (2–2),0.104 (0.0421–0.217)
BinaxNOW (Community),9 (8–9),8 (8–9),2 (2–3),0.0474 (0.0256–0.0752)
BinaxNOW,9 (8–9),9 (8–9),2 (2–2),0.0558 (0.0357–0.084)
CareStart (Anterior Nasal Swab - FDA),9 (8–9),9 (8–9),2 (2–2),0.00675 (0.00411–0.334)
CareStart (Nasopharyngeal Swab),8 (8–9),8 (8–9),3 (2–3),0.0355 (0.00739–0.193)
CareStart (Anterior Nasal Swab - External),9 (8–9),9 (8–9),2 (2–2),0.117 (0.0751–0.173)
CareStart (Anterior Nasal Swab),9 (8–9),9 (8–9),2 (2–2),0.112 (0.0728–0.166)
Celltrion DiaTrust,8 (8–9),8 (8–9),2 (2–3),0.0723 (0.00887–0.267)
Clip COVID,8 (8–9),8 (8–9),2 (2–3),0.00675 (0.00326–0.145)
Ellume,8 (8–9),8 (8–9),3 (2–3),0.141 (0.0646–0.362)
Liaison (Anterior Nasal Swab),8 (8–9),8 (8–9),2 (2–3),0.00675 (0.00328–0.175)
Liaison (Nasalpharyngeal Swab),8 (8–9),8 (8–9),2 (2–3),0.0575 (0.00873–0.221)
LumiraDX (Anterior Nasal Swab),8 (8–9),8 (8–9),3 (2–3),0.155 (0.0796–0.381)
LumiraDX (Nasopharyngeal Swabs),8 (8–9),8 (8–9),3 (2–3),0.108 (0.0488–0.286)
Omnia,9 (8–9),9 (8–9),2 (2–2),0.00675 (0.00446–0.48)
SCoV-2,9 (8–9),9 (8–9),2 (2–2),0.00675 (0.00399–0.087)
Simoa,8 (8–9),8 (8–9),2 (2–3),0.00675 (0.00334–0.396)
Sofia (FDA),8 (8–9),8 (8–9),2 (2–3),0.00675 (0.0033–0.113)
Sofia (CDC),9 (8–9),9 (8–9),2 (1–2),0.109 (0.0658–0.26)
Sofia,9 (8–9),9 (8–9),2 (2–2),0.0944 (0.0574–0.147)
Sofia 2 Flu+SARS,8 (8–9),8 (8–9),2 (2–3),0.00675 (0.00314–0.154)
Status COVID+Flu,9 (8–9),9 (8–9),2 (2–3),0.00675 (0.00364–0.244)
Vitros,9 (8–9),9 (8–9),2 (1–2),0.00675 (0.00402–0.308)
