testName,Quarantine_Duration_Exit,Quarantine_Duration_Entry_Exit,Serial_Testing_Freq,False_Positive_Risk
LumiraDX (Anterior Nasal Swab),8,7,11,0.045
LumiraDX (Nasopharyngeal Swabs),8,7,10,0.034
BD Veritor,13,12,8,0.01
Celltrion DiaTrust,11,7,9,0.017
CareStart (Anterior Nasal Swab - FDA),11,9,9,0.002
CareStart (Anterior Nasal Swab - External),11,9,10,0.024
CareStart (Anterior Nasal Swab),11,9,10,0.024
CareStart (Nasopharyngeal Swab),13,7,9,0.012
Clip COVID,9,7,11,0.001
Liaison (Anterior Nasal Swab),9,7,11,0.001
Liaison (Nasalpharyngeal Swab),9,8,11,0.011
Omnia,11,9,10,0.001
SCoV-2,11,9,10,0.001
Status COVID+Flu,10,8,10,0.001
Vitros,12,10,9,0.002
Sofia 2 Flu+SARS,12,7,9,0.002
Simoa,8,7,11,0.001
Ellume,12,7,9,0.049
Sofia (FDA),9,8,11,0.001
Sofia (CDC),12,11,9,0.025
Sofia,11,9,10,0.02
BinaxNOW (FDA),12,10,9,0.024
BinaxNOW (Community),9,8,11,0.009
BinaxNOW,11,9,9,0.013
